GEOID,Tract,PEWhite,PEBlack,PENative,PEAsian,PEHIPI,PEHispanic,GiniE,MedincE,PEpubasst,PEnopubasst,PENoCollege,PECollege,PEUnder18,PE18t24,PE25t34,PE35t34,PE45t54,PE55t64,PE65t74,PE75over,PEFemale,PEMale
47522,ZCTA5 47522,0.6132723112128147,0.10068649885583524,0,0.018306636155606407,0,0.17391304347826086,0.3025,58824,0.038461538461538464,0.9615384615384616,0.11004784688995216,0.16267942583732056,0.2448512585812357,0.2768878718535469,0.18993135011441648,0.05491990846681922,0.032036613272311214,0.05491990846681922,0.10297482837528604,0.043478260869565216,0.4302059496567506,0.5697940503432495
47523,ZCTA5 47523,0.8813508667065152,0,0,0,0,0.11267184698147041,0.3771,56538,0.05263157894736842,0.9473684210526315,0.1424802110817942,0.2695690413368514,0.23759713090257023,0.08278541542139868,0.14315600717274357,0.1246264196054991,0.07979677226539152,0.14614465032875074,0.0986252241482367,0.08726838015540944,0.50418410041841,0.49581589958158995
47524,ZCTA5 47524,0.9820261437908496,0,0,0,0,0.017973856209150325,0.6094,53750,0,1,0.07142857142857142,0.413265306122449,0.3333333333333333,0.026143790849673203,0.1437908496732026,0.15196078431372548,0.03104575163398693,0.18790849673202614,0.09477124183006536,0.03104575163398693,0.3937908496732026,0.6062091503267973
47525,ZCTA5 47525,1,0,0,0,0,0,0.4285,44079,0,1,0.047058823529411764,0.20392156862745098,0.09252669039145907,0,0.06761565836298933,0.10676156583629894,0.21352313167259787,0.099644128113879,0.2597864768683274,0.1601423487544484,0.4377224199288256,0.5622775800711743
47527,ZCTA5 47527,0.9664082687338501,0.03359173126614987,0,0,0,0,0.3545,62813,0,1,0.02743142144638404,0.3657522859517872,0.24651162790697675,0.13178294573643412,0.08062015503875969,0.07958656330749354,0.165374677002584,0.13643410852713178,0.10594315245478036,0.053746770025839795,0.5059431524547804,0.4940568475452196
47528,ZCTA5 47528,0.9761904761904762,0,0,0,0,0.023809523809523808,0.3423,43000,0,1,0.10028653295128939,0.2349570200573066,0.23412698412698413,0.07341269841269842,0.125,0.07341269841269842,0.12103174603174603,0.16468253968253968,0.12103174603174603,0.0873015873015873,0.5456349206349206,0.45436507936507936
47529,ZCTA5 47529,0.9820971867007673,0.0068201193520886615,0,0,0,0.004262574595055414,0.369,51250,0.038461538461538464,0.9615384615384616,0.2571041948579161,0.21921515561569688,0.2557544757033248,0.11423699914748509,0.16453537936913895,0.10400682011935208,0.10485933503836317,0.13640238704177324,0.0494458653026428,0.07075873827791987,0.4859335038363171,0.5140664961636828
47531,ZCTA5 47531,1,0,0,0,0,0,0.4664,43113,0.022222222222222223,0.9777777777777777,0.01726844583987441,0.21664050235478807,0.21587301587301588,0.11005291005291006,0.07830687830687831,0.12275132275132275,0.17777777777777778,0.10158730158730159,0.12380952380952381,0.06984126984126984,0.38835978835978835,0.6116402116402117
47532,ZCTA5 47532,0.9818724185406149,0.0016062413951353832,0,0.0032124827902707664,0,0.01216154199173933,0.3477,67238,0.006980802792321117,0.9930191972076788,0.10886319845857419,0.3737957610789981,0.1833409821018816,0.10211106011932079,0.07228086278109225,0.08398347865993575,0.15695273061037174,0.18494722349701698,0.10279944928866452,0.11358421294171639,0.49173932996787517,0.5082606700321248
47535,ZCTA5 47535,0.9670184696569921,0,0,0,0,0,0.3785,46111,0,1,0.07802874743326489,0.2299794661190965,0.3245382585751979,0.032981530343007916,0.08575197889182058,0.06596306068601583,0.12005277044854881,0.08839050131926121,0.12005277044854881,0.16226912928759896,0.41952506596306066,0.5804749340369393
47536,ZCTA5 47536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47537,ZCTA5 47537,0.9888392857142857,0,0,0,0,0.011160714285714286,0.3258,67500,0.011428571428571429,0.9885714285714285,0.11363636363636363,0.22727272727272727,0.21875,0.044642857142857144,0.07366071428571429,0.14620535714285715,0.06919642857142858,0.15959821428571427,0.203125,0.08482142857142858,0.5558035714285714,0.44419642857142855
47541,ZCTA5 47541,0.9874581939799331,0,0,0.005016722408026756,0,0.007525083612040134,0.3229,77578,0,1,0.07151230949589683,0.35873388042203985,0.24163879598662208,0.0451505016722408,0.1488294314381271,0.14297658862876253,0.0794314381270903,0.17642140468227424,0.10451505016722408,0.061036789297658864,0.4882943143812709,0.5117056856187291
47542,ZCTA5 47542,0.7662260212702514,0.011927243812742272,0,0.016300566544081106,0,0.19809164098996124,0.4148,52238,0.035555555555555556,0.9644444444444444,0.1623759305210918,0.3017990074441687,0.28665142629957263,0.0724580061624093,0.10058642282079316,0.13636815425902,0.12354636716032204,0.13000695755889077,0.08587615545174436,0.06450651028724778,0.5025345393102078,0.49746546068979225
47546,ZCTA5 47546,0.9273377286656143,0.0039000835732194263,0,0.005339400130002786,0,0.05534404308663757,0.4494,60742,0.016632722335369995,0.9833672776646301,0.08953511908778085,0.3842520747587882,0.23428359179125266,0.07758380536725787,0.12252762559197697,0.12159903426501996,0.1205311542390194,0.1495960627727737,0.09039836567926456,0.08348036029343486,0.5095644906676572,0.4904355093323428
47550,ZCTA5 47550,0.9768270944741533,0,0,0,0,0.023172905525846704,0.2847,67981,0.029288702928870293,0.9707112970711297,0.08776595744680851,0.3377659574468085,0.25846702317290554,0.07130124777183601,0.08377896613190731,0.15151515151515152,0.20320855614973263,0.10873440285204991,0.0374331550802139,0.0855614973262032,0.5882352941176471,0.4117647058823529
47551,ZCTA5 47551,1,0,0,0,0,0,0.3613,85909,0.03067484662576687,0.9693251533742331,0.03904923599320883,0.5398981324278438,0.3074398249452954,0.04814004376367615,0.2111597374179431,0.15098468271334792,0.13566739606126915,0.09299781181619256,0.04157549234135667,0.012035010940919038,0.5765864332603938,0.4234135667396061
47552,ZCTA5 47552,0.9074074074074074,0,0,0,0,0,0.5048,NA,0,1,0,0.30739299610894943,0,0.04814814814814815,0.1925925925925926,0.05925925925925926,0.3,0.26296296296296295,0.13703703703703704,0,0.4074074074074074,0.5925925925925926
